label,sha,workload,files,run,wall_s,peak_kb,exit
M4-head,cd64ea05,trivial,1,1,3.13,712960,0
M4-head,cd64ea05,trivial,1,2,3.16,713072,0
M4-head,cd64ea05,trivial,1,3,3.30,713044,0
M4-head,cd64ea05,examples,15,1,0.40,135944,0
M4-head,cd64ea05,examples,15,2,0.37,135924,0
M4-head,cd64ea05,examples,15,3,0.40,135772,0
M4-head,cd64ea05,allsrc,385,1,37.10,2915976,0
M4-head,cd64ea05,allsrc,385,2,37.17,2915944,0
M4-head,cd64ea05,allsrc,385,3,36.26,2915980,0
M0-monolith,959f2bdb,trivial,1,1,0.51,161588,0
M0-monolith,959f2bdb,trivial,1,2,0.51,161508,0
M0-monolith,959f2bdb,trivial,1,3,0.50,161472,0
M0-monolith,959f2bdb,examples,15,1,0.31,108404,0
M0-monolith,959f2bdb,examples,15,2,0.31,108332,0
M0-monolith,959f2bdb,examples,15,3,0.31,108376,0
M0-monolith,959f2bdb,allsrc,357,1,43.60,3425744,0
M0-monolith,959f2bdb,allsrc,357,2,43.21,3425744,0
M0-monolith,959f2bdb,allsrc,357,3,44.39,3425636,0
M3-post-analyzer,91ee684a,trivial,1,1,1.86,474028,0
M3-post-analyzer,91ee684a,trivial,1,2,1.86,474104,0
M3-post-analyzer,91ee684a,trivial,1,3,1.96,474012,0
M3-post-analyzer,91ee684a,examples,15,1,0.33,119056,0
M3-post-analyzer,91ee684a,examples,15,2,0.34,118980,0
M3-post-analyzer,91ee684a,examples,15,3,0.35,119020,0
M3-post-analyzer,91ee684a,allsrc,373,1,34.08,3124120,0
M3-post-analyzer,91ee684a,allsrc,373,2,33.88,3124136,0
M3-post-analyzer,91ee684a,allsrc,373,3,33.34,3124020,0
M1-import-ctx,b28fec58,trivial,1,1,0.72,211928,0
M1-import-ctx,b28fec58,trivial,1,2,0.75,211900,0
M1-import-ctx,b28fec58,trivial,1,3,0.72,211808,0
M1-import-ctx,b28fec58,examples,15,1,0.32,112012,0
M1-import-ctx,b28fec58,examples,15,2,0.31,111964,0
M1-import-ctx,b28fec58,examples,15,3,0.32,111984,0
M1-import-ctx,b28fec58,allsrc,368,1,44.08,3472324,0
M1-import-ctx,b28fec58,allsrc,368,2,44.19,3472372,0
M1-import-ctx,b28fec58,allsrc,368,3,44.28,3472368,0
M2-post-ir,03598a6b,trivial,1,1,1.34,351120,0
M2-post-ir,03598a6b,trivial,1,2,1.33,351032,0
M2-post-ir,03598a6b,trivial,1,3,1.33,351040,0
M2-post-ir,03598a6b,examples,15,1,0.35,117440,0
M2-post-ir,03598a6b,examples,15,2,0.34,117424,0
M2-post-ir,03598a6b,examples,15,3,0.36,117272,0
M2-post-ir,03598a6b,allsrc,372,1,33.29,2885464,0
M2-post-ir,03598a6b,allsrc,372,2,33.01,2885400,0
M2-post-ir,03598a6b,allsrc,372,3,35.51,2885476,0
