module,time_s,peak_kb,ir_lines,status,seed_version
assert_failure,0.39,90288,1044,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
ast,0.32,75200,335,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
bare_assert_check,0.47,137008,2568,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
build_cache,0.70,230848,3258,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
build_report,0.65,212912,2954,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
build_stamp,0.43,77760,540,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
capsule_artifact,0.82,175488,2814,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
capsule_resolver,11.34,2728704,25047,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
cli_check,11.23,673264,4045,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
cli_commands_utils,0.54,230784,3870,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
cli_commands,22.30,3520976,29258,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
cli_main,19.76,2473616,20543,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
cli__commands__guillermo,0.68,134928,718,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
cli__commands__init,1.02,140272,758,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
cli__commands__version,0.72,104832,417,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
cli__context,0.45,72016,483,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
cli__main,8.37,524096,2303,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
decorator_semantics,0.23,55296,419,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
diagnostics_json,1.77,204128,2074,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
diagnostics_render,2.27,265808,2797,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
dist_manifest,0.31,90784,1033,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
effect_checker,1.52,731456,9163,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
effect_gate,2.28,172080,861,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
effect_imports,0.40,86208,876,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
effect_taxonomy,0.21,50224,295,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
emit_helpers,4.96,420960,2729,ok,sfn 0.7.0-alpha.47+dev.64ed8a6d
