module,time_s,peak_kb,ir_lines,status,seed_version
arena_relocate,0.34,102908,258,ok,0.8.4
assert_failure,0.29,101368,234,ok,0.8.4
ast,0.55,109308,429,ok,0.8.4
backend,0.70,132684,1785,ok,0.8.4
bare_assert_check,1.02,133436,2718,ok,0.8.4
bootstrap_manifest,0.57,122364,1543,ok,0.8.4
build_cache,1.66,277268,5041,ok,0.8.4
build_flags,0.28,103692,277,ok,0.8.4
build_report,1.09,208112,3036,ok,0.8.4
build_stamp,0.40,113020,723,ok,0.8.4
capsule_artifact,0.99,156156,2894,ok,0.8.4
capsule_emit_parallel,1.88,320252,4961,ok,0.8.4
capsule_import_scan,1.30,217212,6747,ok,0.8.4
capsule_names,0.34,107584,570,ok,0.8.4
cli_selfhost,1.89,367592,5059,ok,0.8.4
decorator_resolver,0.58,125668,1584,ok,0.8.4
decorator_semantics,0.30,103484,266,ok,0.8.4
diagnostic,0.32,107004,469,ok,0.8.4
diagnostics_json,0.64,133944,1916,ok,0.8.4
diagnostics_render,1.04,201852,3532,ok,0.8.4
dist_manifest,0.44,112568,1077,ok,0.8.4
effect_checker,5.07,1048832,17201,ok,0.8.4
effect_gate,0.69,121000,1525,ok,0.8.4
effect_imports,0.50,120048,994,ok,0.8.4
effect_taxonomy,0.34,106780,440,ok,0.8.4
emit_helpers,1.34,236156,3252,ok,0.8.4
emit_native,3.11,719552,11812,ok,0.8.4
emit_native_desugar_try,2.27,548964,9917,ok,0.8.4
emit_native_format,1.97,484852,8007,ok,0.8.4
emit_native_layout,1.51,354284,5210,ok,0.8.4
emit_native_state,0.67,149884,2329,ok,0.8.4
emitter_sailfin,1.97,496356,8546,ok,0.8.4
emitter_sailfin_expr,1.15,268616,4536,ok,0.8.4
emitter_sailfin_utils,0.46,126612,1442,ok,0.8.4
ice,0.36,115832,712,ok,0.8.4
import_resolution_check,0.61,126912,1487,ok,0.8.4
lexer,0.86,174588,3410,ok,0.8.4
lock,0.50,127612,1544,ok,0.8.4
main,3.39,729500,7493,ok,0.8.4
native_ir,0.35,128632,355,ok,0.8.4
